N,n,seed_a,seed_b,comp_a,comp_b,d_l2
4,0.4,56791,56792,27,22,0.07946782356896813
4,0.4,56791,56793,27,27,0.0
4,0.4,56791,56794,27,25,0.030478263223894065
4,0.4,56791,56795,27,21,0.09649230450496087
4,0.4,56792,56793,22,27,0.07946782356896813
4,0.4,56792,56794,22,25,0.049100869512943686
4,0.4,56792,56795,22,21,0.017226537406769566
4,0.4,56793,56794,27,25,0.030478263223894065
4,0.4,56793,56795,27,21,0.09649230450496087
4,0.4,56794,56795,25,21,0.06622397867147306
4,0.8,56791,56792,21,22,0.017226537406769566
4,0.8,56791,56793,21,23,0.03401937659559158
4,0.8,56791,56794,21,23,0.03401937659559158
4,0.8,56791,56795,21,23,0.03401937659559158
4,0.8,56792,56793,22,23,0.016815582967144183
4,0.8,56792,56794,22,23,0.016815582967144183
4,0.8,56792,56795,22,23,0.016815582967144183
4,0.8,56793,56794,23,23,0.0
4,0.8,56793,56795,23,23,0.0
4,0.8,56794,56795,23,23,0.0
8,0.4,56791,56792,24,23,0.016389369421346032
8,0.4,56791,56793,24,25,0.01594288352147827
8,0.4,56791,56794,24,24,0.0
8,0.4,56791,56795,24,23,0.016389369421346032
8,0.4,56792,56793,23,25,0.03232292954029604
8,0.4,56792,56794,23,24,0.016389369421346032
8,0.4,56792,56795,23,23,0.0
8,0.4,56793,56794,25,24,0.01594288352147827
8,0.4,56793,56795,25,23,0.03232292954029604
8,0.4,56794,56795,24,23,0.016389369421346032
8,0.8,56791,56792,22,21,0.017226537406769566
8,0.8,56791,56793,22,23,0.016815582967144183
8,0.8,56791,56794,22,24,0.03319059457694596
8,0.8,56791,56795,22,22,0.0
8,0.8,56792,56793,21,23,0.03401937659559158
8,0.8,56792,56794,21,24,0.05035797998003851
8,0.8,56792,56795,21,22,0.017226537406769566
8,0.8,56793,56794,23,24,0.016389369421346032
8,0.8,56793,56795,23,22,0.016815582967144183
8,0.8,56794,56795,24,22,0.03319059457694596
