tag,N,n,J_edges_mean,J_edges_med,J_edges_std,J_events_mean,J_events_med,J_events_std,d_l2_mean,d_l2_med,d_l2_std,core_edges_mean,core_events_mean,ball_comp_mean
hits2_x10_bins20,4,0.4,0.6,1.0,0.5163977794943222,0.00907651279314031,0.004367716875269745,0.010891331869375576,0.03592106040535498,0.0,0.046373889576016826,0.2,184.2,1.2
hits2_x10_bins20,4,0.8,0.0,0.0,0.0,0.10495506992879026,0.04380375915896782,0.12546507973232837,0.019956144669641657,0.019956144669641664,0.013304096446427771,35.2,1136.4,3.0
hits2_x10_bins20,8,0.4,1.0,1.0,0.0,0.0009345794392523364,0.0,0.002955399682400354,0.0,0.0,0.0,0.0,52.8,1.0
hits2_x10_bins20,8,0.8,0.0,0.0,0.0,0.11936258455057705,0.08756838772336144,0.10660952577545424,0.03407065567805412,0.03597645143348519,0.019686378473820525,35.4,2257.4,3.0
hits2_x10_bins10,4,0.4,1.0,1.0,0.0,0.009368027262950407,0.007421705089169204,0.010623888511607227,0.0,0.0,0.0,0.0,80.0,1.0
hits2_x10_bins10,4,0.8,0.0,0.0,0.0,0.11155046345965995,0.03860058879123983,0.13369577430170995,0.019956144669641657,0.019956144669641664,0.013304096446427771,18.0,506.4,3.0
hits2_x10_bins10,8,0.4,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.6,1.0
hits2_x10_bins10,8,0.8,0.0,0.0,0.0,0.12751687897727418,0.08378511114159175,0.12380621350242586,0.021585870860091113,0.03597645143348519,0.01857815963433708,16.4,1011.0,2.4
hits1_x10_bins20,4,0.4,0.01267172213847586,0.012809119728870829,0.0014472403188093043,0.30520063125217695,0.3048879915733019,0.020381004560180216,0.0016443879606825157,0.0015573355111071071,0.0008040996664216056,19794.8,16094.4,16094.0
hits1_x10_bins20,4,0.8,0.01818206623042712,0.01816015692293702,0.00018757094507969475,0.9831705635292985,0.9852690337531291,0.007157584784524763,0.0008708831427377198,0.0007632187476494251,0.0004897045329731639,56156.2,11967.8,11967.8
hits1_x10_bins20,8,0.4,0.003030235264047551,0.0030089239823472944,0.0003516622722849817,0.10760665423321987,0.10751646676584625,0.0019691744241267972,0.0005974972725376473,0.0006612279032282636,0.00029753106856855054,14250.4,13350.0,13350.0
hits1_x10_bins20,8,0.8,0.009603214855889334,0.009616289213036967,0.0001597176056942687,0.9861426389552829,0.9856163207790333,0.0064578487936663015,0.00036581720795970626,0.0003401093311765754,0.00014387102637151232,113127.4,23477.0,23477.0
