N,n,seed_a,seed_b,d_l2,d_l1,d_max,comp_a,comp_b
4,0.4,56791,56792,0.0,0.0,0.0,1,1
4,0.4,56791,56793,0.08980265101338746,0.016129032258064516,0.5,1,2
4,0.4,56791,56794,0.08980265101338746,0.016129032258064516,0.5,1,2
4,0.4,56791,56795,0.08980265101338746,0.016129032258064516,0.5,1,2
4,0.4,56792,56793,0.08980265101338746,0.016129032258064516,0.5,1,2
4,0.4,56792,56794,0.08980265101338746,0.016129032258064516,0.5,1,2
4,0.4,56792,56795,0.08980265101338746,0.016129032258064516,0.5,1,2
4,0.4,56793,56794,0.0,0.0,0.0,2,2
4,0.4,56793,56795,0.0,0.0,0.0,2,2
4,0.4,56794,56795,0.0,0.0,0.0,2,2
4,0.8,56791,56792,0.015875015875023813,0.004032258064516129,0.0625,4,4
4,0.8,56791,56793,0.015875015875023813,0.004032258064516129,0.0625,4,4
4,0.8,56791,56794,0.015875015875023813,0.004032258064516129,0.0625,4,4
4,0.8,56791,56795,0.0770479067094974,0.025985663082437282,0.26388888888888895,4,6
4,0.8,56792,56793,0.031750031750047626,0.008064516129032258,0.125,4,4
4,0.8,56792,56794,0.031750031750047626,0.008064516129032258,0.125,4,4
4,0.8,56792,56795,0.09119502320886001,0.03001792114695341,0.32638888888888895,4,6
4,0.8,56793,56794,0.0,0.0,0.0,4,4
4,0.8,56793,56795,0.06372016836630948,0.021953405017921153,0.20138888888888895,4,6
4,0.8,56794,56795,0.06372016836630948,0.021953405017921153,0.20138888888888895,4,6
8,0.4,56791,56792,0.0,0.0,0.0,1,1
8,0.4,56791,56793,0.0,0.0,0.0,1,1
8,0.4,56791,56794,0.0,0.0,0.0,1,1
8,0.4,56791,56795,0.0,0.0,0.0,1,1
8,0.4,56792,56793,0.0,0.0,0.0,1,1
8,0.4,56792,56794,0.0,0.0,0.0,1,1
8,0.4,56792,56795,0.0,0.0,0.0,1,1
8,0.4,56793,56794,0.0,0.0,0.0,1,1
8,0.4,56793,56795,0.0,0.0,0.0,1,1
8,0.4,56794,56795,0.0,0.0,0.0,1,1
8,0.8,56791,56792,0.0,0.0,0.0,3,3
8,0.8,56791,56793,0.0,0.0,0.0,3,3
8,0.8,56791,56794,0.06924253802456143,0.01926523297491039,0.32638888888888884,3,4
8,0.8,56791,56795,0.019956144669641643,0.0035842293906810014,0.11111111111111105,3,3
8,0.8,56792,56793,0.0,0.0,0.0,3,3
8,0.8,56792,56794,0.06924253802456143,0.01926523297491039,0.32638888888888884,3,4
8,0.8,56792,56795,0.019956144669641643,0.0035842293906810014,0.11111111111111105,3,3
8,0.8,56793,56794,0.06924253802456143,0.01926523297491039,0.32638888888888884,3,4
8,0.8,56793,56795,0.019956144669641643,0.0035842293906810014,0.11111111111111105,3,3
8,0.8,56794,56795,0.05341415061071325,0.01568100358422939,0.2152777777777778,4,3
