N,n,seed_a,seed_b,J_edges,J_events,edges_a,edges_b,events_a,events_b,comp_a,comp_b
4,0.4,56791,56792,0.0,0.015625,2,1,911,779,2,2
4,0.4,56791,56793,0.0,0.008233058898036731,2,0,911,681,2,1
4,0.4,56791,56794,0.0,0.0023001725129384704,2,2,911,832,2,2
4,0.4,56791,56795,0.0,0.013248847926267281,2,1,911,848,2,2
4,0.4,56792,56793,0.0,0.01178101178101178,1,0,779,681,2,1
4,0.4,56792,56794,0.0,0.0056179775280898875,1,2,779,832,2,2
4,0.4,56792,56795,0.0,0.017510944340212633,1,1,779,848,2,2
4,0.4,56793,56794,0.0,0.01068804275217101,0,2,681,832,1,2
4,0.4,56793,56795,0.0,0.015946843853820596,0,1,681,848,1,2
4,0.4,56794,56795,0.0,0.009615384615384616,2,1,832,848,2,2
4,0.8,56791,56792,0.0,0.21395518753044326,160,161,4999,4970,4,3
4,0.8,56791,56793,0.0,0.2913567581431136,160,144,4999,5071,4,3
4,0.8,56791,56794,0.0,0.16370692696695285,160,159,4999,4896,4,4
4,0.8,56791,56795,0.0,0.3009046807394782,160,167,4999,4923,4,3
4,0.8,56792,56793,0.0,0.1785211267605634,161,144,4970,5071,3,3
4,0.8,56792,56794,0.0,0.3248287901168256,161,159,4970,4896,3,4
4,0.8,56792,56795,0.0,0.3908336848024743,161,167,4970,4923,3,3
4,0.8,56793,56794,0.0,0.20461687212956248,144,159,5071,4896,3,4
4,0.8,56793,56795,0.0,0.21878048780487805,144,167,5071,4923,3,3
4,0.8,56794,56795,0.0,0.20923645320197046,159,167,4896,4923,4,3
8,0.4,56791,56792,1.0,0.0043859649122807015,0,0,205,253,1,1
8,0.4,56791,56793,1.0,0.0,0,0,205,248,1,1
8,0.4,56791,56794,1.0,0.00234192037470726,0,0,205,223,1,1
8,0.4,56791,56795,1.0,0.0,0,0,205,228,1,1
8,0.4,56792,56793,1.0,0.002,0,0,253,248,1,1
8,0.4,56792,56794,1.0,0.0,0,0,253,223,1,1
8,0.4,56792,56795,1.0,0.006276150627615063,0,0,253,228,1,1
8,0.4,56793,56794,1.0,0.0,0,0,248,223,1,1
8,0.4,56793,56795,1.0,0.002105263157894737,0,0,248,228,1,1
8,0.4,56794,56795,1.0,0.0,0,0,223,228,1,1
8,0.8,56791,56792,0.0,0.2216682056017236,170,131,9862,9984,3,3
8,0.8,56791,56793,0.0,0.3101333333333333,170,157,9862,9790,3,3
8,0.8,56791,56794,0.0,0.13609095583614236,170,154,9862,10023,3,3
8,0.8,56791,56795,0.0,0.24151847647874888,170,170,9862,9826,3,3
8,0.8,56792,56793,0.0,0.35866428473271955,131,157,9984,9790,3,3
8,0.8,56792,56794,0.0,0.2116642441860465,131,154,9984,10023,3,3
8,0.8,56792,56795,0.0,0.2770758122743682,131,170,9984,9826,3,3
8,0.8,56793,56794,0.0,0.11843070843917584,157,154,9790,10023,3,3
8,0.8,56793,56795,0.0,0.1675495506219868,157,170,9790,9826,3,3
8,0.8,56794,56795,0.0,0.3813765745702554,154,170,10023,9826,3,3
