N,n,seed,edge_source,resolution,K,super_nodes,super_edges,transitivity,clustering_mean,F_mean,F_std,F_median,F_q1,F_q3,F_min,F_max,F_pos_frac,Faug_mean,Faug_std,Faug_median,Faug_q1,Faug_q3,Faug_min,Faug_max,Faug_pos_frac,tri_mean,tri_median
4,0.4,56791,all,1.0,23,23,22,0,0.0,0.09090909090909091,0.29424494316824984,0.0,0.0,0.0,0.0,1.0,0.09090909090909091,0.09090909090909091,0.29424494316824984,0.0,0.0,0.0,0.0,1.0,0.09090909090909091,0.0,0.0
4,0.4,56792,all,1.0,25,25,24,0,0.0,0.08333333333333333,0.28232985128663995,0.0,0.0,0.0,0.0,1.0,0.08333333333333333,0.08333333333333333,0.28232985128663995,0.0,0.0,0.0,0.0,1.0,0.08333333333333333,0.0,0.0
4,0.4,56793,all,1.0,24,24,23,0,0.0,0.08695652173913043,0.2881040655200304,0.0,0.0,0.0,0.0,1.0,0.08695652173913043,0.08695652173913043,0.2881040655200304,0.0,0.0,0.0,0.0,1.0,0.08695652173913043,0.0,0.0
4,0.4,56794,all,1.0,28,28,27,0,0.0,0.07407407407407407,0.2668802563418119,0.0,0.0,0.0,0.0,1.0,0.07407407407407407,0.07407407407407407,0.2668802563418119,0.0,0.0,0.0,0.0,1.0,0.07407407407407407,0.0,0.0
4,0.4,56795,all,1.0,23,23,22,0,0.0,0.09090909090909091,0.29424494316824984,0.0,0.0,0.0,0.0,1.0,0.09090909090909091,0.09090909090909091,0.29424494316824984,0.0,0.0,0.0,0.0,1.0,0.09090909090909091,0.0,0.0
4,0.8,56791,all,1.0,22,22,21,0,0.0,0.09523809523809523,0.3007926037591192,0.0,0.0,0.0,0.0,1.0,0.09523809523809523,0.09523809523809523,0.3007926037591192,0.0,0.0,0.0,0.0,1.0,0.09523809523809523,0.0,0.0
4,0.8,56792,all,1.0,22,22,21,0,0.0,0.09523809523809523,0.3007926037591192,0.0,0.0,0.0,0.0,1.0,0.09523809523809523,0.09523809523809523,0.3007926037591192,0.0,0.0,0.0,0.0,1.0,0.09523809523809523,0.0,0.0
4,0.8,56793,all,1.0,21,21,20,0,0.0,0.1,0.30779350562554625,0.0,0.0,0.0,0.0,1.0,0.1,0.1,0.30779350562554625,0.0,0.0,0.0,0.0,1.0,0.1,0.0,0.0
4,0.8,56794,all,1.0,22,22,21,0,0.0,0.09523809523809523,0.3007926037591192,0.0,0.0,0.0,0.0,1.0,0.09523809523809523,0.09523809523809523,0.3007926037591192,0.0,0.0,0.0,0.0,1.0,0.09523809523809523,0.0,0.0
4,0.8,56795,all,1.0,22,22,21,0,0.0,0.09523809523809523,0.3007926037591192,0.0,0.0,0.0,0.0,1.0,0.09523809523809523,0.09523809523809523,0.3007926037591192,0.0,0.0,0.0,0.0,1.0,0.09523809523809523,0.0,0.0
8,0.4,56791,all,1.0,24,24,23,0,0.0,0.08695652173913043,0.2881040655200304,0.0,0.0,0.0,0.0,1.0,0.08695652173913043,0.08695652173913043,0.2881040655200304,0.0,0.0,0.0,0.0,1.0,0.08695652173913043,0.0,0.0
8,0.4,56792,all,1.0,24,24,23,0,0.0,0.08695652173913043,0.2881040655200304,0.0,0.0,0.0,0.0,1.0,0.08695652173913043,0.08695652173913043,0.2881040655200304,0.0,0.0,0.0,0.0,1.0,0.08695652173913043,0.0,0.0
8,0.4,56793,all,1.0,24,24,23,0,0.0,0.08695652173913043,0.2881040655200304,0.0,0.0,0.0,0.0,1.0,0.08695652173913043,0.08695652173913043,0.2881040655200304,0.0,0.0,0.0,0.0,1.0,0.08695652173913043,0.0,0.0
8,0.4,56794,all,1.0,25,25,24,0,0.0,0.08333333333333333,0.28232985128663995,0.0,0.0,0.0,0.0,1.0,0.08333333333333333,0.08333333333333333,0.28232985128663995,0.0,0.0,0.0,0.0,1.0,0.08333333333333333,0.0,0.0
8,0.4,56795,all,1.0,21,21,20,0,0.0,0.1,0.30779350562554625,0.0,0.0,0.0,0.0,1.0,0.1,0.1,0.30779350562554625,0.0,0.0,0.0,0.0,1.0,0.1,0.0,0.0
8,0.8,56791,all,1.0,21,21,20,0,0.0,0.1,0.30779350562554625,0.0,0.0,0.0,0.0,1.0,0.1,0.1,0.30779350562554625,0.0,0.0,0.0,0.0,1.0,0.1,0.0,0.0
8,0.8,56792,all,1.0,22,22,21,0,0.0,0.09523809523809523,0.3007926037591192,0.0,0.0,0.0,0.0,1.0,0.09523809523809523,0.09523809523809523,0.3007926037591192,0.0,0.0,0.0,0.0,1.0,0.09523809523809523,0.0,0.0
8,0.8,56793,all,1.0,23,23,22,0,0.0,0.09090909090909091,0.29424494316824984,0.0,0.0,0.0,0.0,1.0,0.09090909090909091,0.09090909090909091,0.29424494316824984,0.0,0.0,0.0,0.0,1.0,0.09090909090909091,0.0,0.0
8,0.8,56794,all,1.0,22,22,21,0,0.0,0.09523809523809523,0.3007926037591192,0.0,0.0,0.0,0.0,1.0,0.09523809523809523,0.09523809523809523,0.3007926037591192,0.0,0.0,0.0,0.0,1.0,0.09523809523809523,0.0,0.0
8,0.8,56795,all,1.0,23,23,22,0,0.0,0.09090909090909091,0.29424494316824984,0.0,0.0,0.0,0.0,1.0,0.09090909090909091,0.09090909090909091,0.29424494316824984,0.0,0.0,0.0,0.0,1.0,0.09090909090909091,0.0,0.0
