N,n,seed,bins_logged,threads,partition_source,supergraph_source,K,super_nodes,super_edges,transitions_total,transitions_mapped,coverage,missing_labels,inf_hops
4,0.8,56791,20,4,all,all,22,22,21,76,76,1.0,0,0
4,0.8,56792,20,4,all,all,22,22,21,76,76,1.0,0,0
4,0.8,56793,20,4,all,all,21,21,20,76,76,1.0,0,0
4,0.8,56794,20,4,all,all,22,22,21,76,76,1.0,0,0
4,0.8,56795,20,4,all,all,22,22,21,76,76,1.0,0,0
8,0.8,56791,20,8,all,all,21,21,20,152,152,1.0,0,0
8,0.8,56792,20,8,all,all,22,22,21,152,152,1.0,0,0
8,0.8,56793,20,8,all,all,23,23,22,152,152,1.0,0,0
8,0.8,56794,20,8,all,all,22,22,21,152,152,1.0,0,0
8,0.8,56795,20,8,all,all,23,23,22,152,152,1.0,0,0
