resolution,N,n,NMI_mean,NMI_std,ARI_mean,ARI_std,K_mean,K_std,K_min,K_max,J_super_mean,J_super_std,corr_mean,corr_std,d_l2_mean,d_l2_std,comp_mean,comp_min,comp_max,pairs
0.5,4,0.4,0.8014062481669468,0.022124456606064994,0.5097084897994549,0.07808223009035277,74.6,44.11689018958612,40,141,0.21646791164058882,0.09708152091618454,0.33545003381249283,0.13597353597546524,0.10388106315401924,0.06357189590770633,74.2,40,140,10
0.5,4,0.8,0.8214543366316374,0.009657446128234567,0.5960755880063803,0.02956277612933801,23.2,1.4832396974191326,21,25,0.28546855511575103,0.07122970226028051,0.5060877605780895,0.29136369155215536,0.024453883594675523,0.01796430730538081,23.2,21,25,10
0.5,8,0.4,0.8225306610605683,0.0054684725925922325,0.48303749734821916,0.0205306466581321,96.0,9.300537618869138,82,107,0.28027689618764773,0.02391177362598017,0.43561186414740477,0.09163758537234507,0.01789546956211144,0.014077160810031564,96.0,82,107,10
0.5,8,0.8,0.811567555446298,0.016986291003095247,0.5605526872024953,0.07574792913072745,28.8,19.136352839556444,19,63,0.252778218456695,0.1443307891837505,0.4811437648505515,0.4200720581397146,0.1536837246655694,0.174696740313149,28.8,19,63,10
1.0,4,0.4,0.832691853539116,0.006018107621606603,0.5945040968582745,0.03984370379205097,44.2,2.9495762407505253,40,48,0.6044282593974047,0.09620751947121177,0.6570633453510419,0.09681102753610334,0.02187315170100154,0.013632986485313569,43.8,40,48,10
1.0,4,0.8,0.8341261997976049,0.015507532015766911,0.6303431217699125,0.04429025769073779,22.4,0.8944271909999159,21,23,0.526544638980041,0.09944941960336458,0.90975332482737,0.02464179518774479,0.016973141609497686,0.013888939138349526,22.4,21,23,10
1.0,8,0.4,0.8381661969309547,0.003922550133516012,0.5431755055579608,0.01614720253898352,75.4,4.09878030638384,70,79,0.42486689005253464,0.048218573147519754,0.7355887145754211,0.03452785398404916,0.008498935347031649,0.005327415515831214,75.4,70,79,10
1.0,8,0.8,0.8347844178407036,0.010948432707794482,0.6360060449444803,0.03270019419822935,22.4,1.140175425099138,21,24,0.3703559257287571,0.06401127089577378,0.8915706353678388,0.02937122621107693,0.023523215589869556,0.014105573463560213,22.4,21,24,10
1.5,4,0.4,0.8276354824718279,0.0037994742107507512,0.5631162581832081,0.018527712603019594,53.4,3.286335345030997,49,58,0.716329603949053,0.056922373183111656,0.6734598306862443,0.0692334933648272,0.017927807392668464,0.011021237913902313,53.0,49,57,10
1.5,4,0.8,0.8366816761148517,0.011208543771322698,0.6187523392050567,0.03437597071402229,26.6,1.9493588689617927,24,28,0.4746912602770822,0.19472466160252624,0.9048915224759606,0.015411564321841391,0.03336254793276644,0.026507445899646154,26.6,24,28,10
1.5,8,0.4,0.8285620262999732,0.003287246700443018,0.5031775980513913,0.012563858330619414,91.6,2.701851217221259,88,95,0.48417606918202605,0.06280124881299468,0.740652431976321,0.03758834549930926,0.008593188988143404,0.004876218373576009,91.6,88,95,10
1.5,8,0.8,0.8336098215089107,0.01211043957840978,0.6154514639885202,0.03737138116670364,26.0,1.0,25,27,0.4884284702006651,0.19927544694101165,0.8743057258131834,0.05146221627836485,0.018287808345590816,0.012021594749599787,26.0,25,27,10
2.0,4,0.4,0.822445105698621,0.004687253027532017,0.542041409580357,0.019914348071779504,63.0,4.358898943540674,58,68,0.7100503034515551,0.04827776693563789,0.6454464151685235,0.07195156304011241,0.015281728413120626,0.009732687121125384,62.6,58,67,10
2.0,4,0.8,0.8431750979057291,0.010633115173407579,0.6255578380643142,0.03370812670997862,30.2,1.6431676725154984,29,33,0.3772977551631301,0.12085354197639434,0.8560932325863405,0.0336250827139868,0.023304998208118204,0.01966485625578547,30.2,29,33,10
2.0,8,0.4,0.8248771919729467,0.0024991767580868226,0.48284878819077826,0.010849499055522257,105.6,3.5777087639996634,101,111,0.5156320070492086,0.017543993944571297,0.7166568984729059,0.02050838504121263,0.006850774481944308,0.005377340508580435,105.6,101,111,10
2.0,8,0.8,0.8456223589867161,0.01268989007098756,0.6373371442832233,0.042256628643340934,29.6,0.5477225575051661,29,30,0.3682676169231248,0.061631737825620904,0.8533862347460183,0.048325024474670734,0.008138370128521411,0.0070043937717856304,29.6,29,30,10
