N,n,seed,object,comp_size,r_lo,r_hi,d_eff,r2,partition_source,supergraph_source,resolution
4,0.4,56791,supergraph,23.0,3,6,0.786929287248015,0.9999907252706358,all,all,1.0
4,0.4,56792,supergraph,25.0,3,6,0.7963163966397901,0.99999686397539,all,all,1.0
4,0.4,56793,supergraph,24.0,3,6,0.7918408832929206,0.9999945080794054,all,all,1.0
4,0.4,56794,supergraph,28.0,3,6,0.8076390944583376,0.9999985557923315,all,all,1.0
4,0.4,56795,supergraph,23.0,3,6,0.786929287248015,0.9999907252706358,all,all,1.0
4,0.8,56791,supergraph,22.0,3,6,0.7815145773524047,0.9999850134637154,all,all,1.0
4,0.8,56792,supergraph,22.0,3,6,0.7815145773524047,0.9999850134637154,all,all,1.0
4,0.8,56793,supergraph,21.0,2,6,0.7725858375666265,0.9999836862132089,all,all,1.0
4,0.8,56794,supergraph,22.0,3,6,0.7815145773524047,0.9999850134637154,all,all,1.0
4,0.8,56795,supergraph,22.0,3,6,0.7815145773524047,0.9999850134637154,all,all,1.0
8,0.4,56791,supergraph,24.0,3,6,0.7918408832929206,0.9999945080794054,all,all,1.0
8,0.4,56792,supergraph,24.0,3,6,0.7918408832929206,0.9999945080794054,all,all,1.0
8,0.4,56793,supergraph,24.0,3,6,0.7918408832929206,0.9999945080794054,all,all,1.0
8,0.4,56794,supergraph,25.0,3,6,0.7963163966397901,0.99999686397539,all,all,1.0
8,0.4,56795,supergraph,21.0,2,6,0.7725858375666265,0.9999836862132089,all,all,1.0
8,0.8,56791,supergraph,21.0,2,6,0.7725858375666265,0.9999836862132089,all,all,1.0
8,0.8,56792,supergraph,22.0,3,6,0.7815145773524047,0.9999850134637154,all,all,1.0
8,0.8,56793,supergraph,23.0,3,6,0.786929287248015,0.9999907252706358,all,all,1.0
8,0.8,56794,supergraph,22.0,3,6,0.7815145773524047,0.9999850134637154,all,all,1.0
8,0.8,56795,supergraph,23.0,3,6,0.786929287248015,0.9999907252706358,all,all,1.0
